image,xmin,ymin,width,height,label
frame_001500.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001530.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001560.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001590.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001620.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001650.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001680.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001710.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001740.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001770.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001800.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001830.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001860.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001890.PNG,489.33,132.24,51.99,51.99,pig_lying
frame_001890.PNG,655.01,394.8,237.94,139.3,pig_lying
frame_001920.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001950.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_001980.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002010.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002040.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002070.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002100.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002130.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002160.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002190.PNG,510.48,166.52,24.72,23.78,pig_lying
frame_002190.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002220.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002250.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002280.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002310.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002340.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002370.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002400.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002430.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002460.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002490.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002520.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002550.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002580.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002610.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002640.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002670.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002700.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002730.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002760.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002790.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002820.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002850.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002880.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002910.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002940.PNG,655.01,393.88,237.94,140.22,pig_lying
frame_002970.PNG,655.01,393.88,237.94,140.22,pig_lying
